estado,ano,suicidios,cod_uf,violencia_domestica,populacao,pib_estado,bolsa_familia_beneficiados,viol-psico-moral,viol-sexual,viol-fisica,viol-tortura,outra-violencia
Acre,2009,31,12,132.0,691132,7407821,62600.0,123.0,114.0,123.0,10,0
Acre,2010,40,12,314.0,733559,8342356,59779.0,177.0,125.0,345.0,28,3.0
Acre,2011,41,12,491.0,746386,8949434,56272.0,267.0,315.0,280.0,21.0,9
Acre,2012,43,12,685.0,758786,10137925,70769.0,278.0,417.0,400.0,36.0,5.0
Acre,2013,44,12,749.0,776463,11473930,78050.0,236.0,563.0,453.0,55.0,16.0
Acre,2014,49,12,805.0,790101,13458698,78561.0,199.0,604.0,448.0,59.0,26.0
Acre,2016,56,12,1120.0,816687,13754240,82795.0,274.0,705.0,822.0,89.0,165.0
Acre,2017,64,12,1148.0,829619,14272941,86360.0,276.0,795.0,1035.0,228.0,241.0
Acre,2018,59,12,989.0,869265,15331123,90534.0,263.0,683.0,936.0,70.0,278.0
Acre,2019,72,12,767.0,881935,15630017,87465.0,266.0,460.0,1298.0,64.0,61.0
Acre,2020,71,12,749.0,894470,16476371,90737.0,314.0,415.0,967.0,53.0,116.0
Acre,2021,70,12,945.0,906876,"21374440,01",89118.0,232.0,545.0,900.0,49.0,113.0
Alagoas,2009,110,27,27.0,3156108,24182388,395459.0,19.0,57.0,551.0,4,448
Alagoas,2010,84,27,95.0,3120494,27133038,414112.0,36.0,63.0,788.0,1,462.0
Alagoas,2011,102,27,226.0,3143384,31657321,425137.0,89.0,130.0,1688.0,16.0,500
Alagoas,2012,108,27,298.0,3165472,34650397,436270.0,103.0,138.0,2036.0,19.0,491.0
Alagoas,2013,141,27,439.0,3300935,37282529,438656.0,175.0,147.0,2156.0,33.0,662.0
Alagoas,2014,117,27,528.0,3321730,40974994,439655.0,270.0,233.0,2222.0,56.0,625.0
Alagoas,2016,113,27,812.0,3358963,49468741,396054.0,424.0,265.0,2131.0,64.0,488.0
Alagoas,2017,106,27,1257.0,3375823,52851067,407872.0,702.0,432.0,3262.0,155.0,708.0
Alagoas,2018,139,27,1265.0,3322820,54413047,413983.0,652.0,415.0,2597.0,91.0,1373.0
Alagoas,2019,130,27,1495.0,3337357,58963729,389492.0,621.0,723.0,2688.0,105.0,2015.0
Alagoas,2020,167,27,1414.0,3351543,63202349,406800.0,502.0,795.0,2030.0,74.0,1475.0
Alagoas,2021,159,27,1545.0,3365351,"76265620,29",406358.0,510.0,1076.0,2398.0,58.0,1602.0
Amapá,2009,26,16,59.0,626609,7490656,44678.0,33.0,37.0,69.0,5,26
Amapá,2010,29,16,90.0,669526,8237795,44096.0,19.0,54.0,175.0,7,10.0
Amapá,2011,37,16,155.0,684309,9409228,50832.0,17.0,120.0,143.0,3.0,0
Amapá,2012,21,16,130.0,698602,11130868,53417.0,41.0,84.0,183.0,7.0,1.0
Amapá,2013,46,16,192.0,734996,12763486,53608.0,63.0,106.0,361.0,15.0,27.0
Amapá,2014,33,16,177.0,750912,13400284,55527.0,54.0,89.0,278.0,13.0,5.0
Amapá,2016,36,16,228.0,782295,14342135,62371.0,113.0,138.0,318.0,23.0,9.0
Amapá,2017,45,16,387.0,797722,15481908,70029.0,207.0,120.0,409.0,24.0,24.0
Amapá,2018,60,16,449.0,829494,16795207,77227.0,225.0,160.0,530.0,27.0,59.0
Amapá,2019,60,16,507.0,845731,17496661,75598.0,205.0,190.0,595.0,18.0,65.0
Amapá,2020,52,16,331.0,861773,18469115,76700.0,126.0,113.0,291.0,9.0,10.0
Amapá,2021,64,16,416.0,877613,"20099850,52",74358.0,165.0,236.0,321.0,26.0,53.0
Amazonas,2009,152,13,629.0,3393369,50559840,263064.0,498.0,618.0,441.0,41,80
Amazonas,2010,162,13,1087.0,3483985,60877123,278893.0,777.0,760.0,682.0,41,46.0
Amazonas,2011,188,13,1239.0,3538387,70734401,307285.0,791.0,1011.0,1396.0,94.0,70
Amazonas,2012,185,13,1796.0,3590985,72242701,332516.0,1379.0,1320.0,1965.0,119.0,27.0
Amazonas,2013,225,13,2971.0,3807921,83051233,358836.0,2415.0,1612.0,2238.0,149.0,47.0
Amazonas,2014,238,13,2220.0,3873743,86668644,358516.0,1368.0,1596.0,1894.0,105.0,45.0
Amazonas,2016,194,13,1728.0,4001667,89039782,370487.0,775.0,1286.0,2115.0,86.0,60.0
Amazonas,2017,209,13,2017.0,4063614,93240191,388757.0,835.0,1697.0,2379.0,85.0,72.0
Amazonas,2018,237,13,2208.0,4080611,100109235,409529.0,918.0,1746.0,2526.0,127.0,161.0
Amazonas,2019,255,13,2551.0,4144597,108181091,388546.0,1069.0,1663.0,3798.0,147.0,237.0
Amazonas,2020,317,13,1975.0,4207714,116019139,410417.0,648.0,1172.0,2634.0,95.0,233.0
Amazonas,2021,299,13,2481.0,4269995,"131531037,8",399388.0,859.0,1731.0,2624.0,140.0,382.0
Bahia,2009,379,29,570.0,14637364,137942481,1581639.0,234.0,148.0,2101.0,48,22
Bahia,2010,436,29,1530.0,14016906,154419547,1662069.0,775.0,378.0,3227.0,80,98.0
Bahia,2011,431,29,2258.0,14097534,166602817,1752993.0,1111.0,504.0,3426.0,90.0,91
Bahia,2012,483,29,2786.0,14175341,182572530,1808346.0,1419.0,623.0,4232.0,120.0,69.0
Bahia,2013,499,29,4033.0,15044137,204844274,1800055.0,2015.0,1008.0,5994.0,208.0,114.0
Bahia,2014,456,29,4377.0,15126371,223929966,1808376.0,2048.0,1270.0,6295.0,247.0,125.0
Bahia,2016,527,29,4996.0,15276566,258738970,1772853.0,2129.0,1291.0,7481.0,300.0,201.0
Bahia,2017,614,29,5172.0,15344447,268724090,1843633.0,2542.0,1267.0,7961.0,411.0,359.0
Bahia,2018,561,29,6647.0,14812617,286239541,1858143.0,3104.0,1486.0,8847.0,427.0,649.0
Bahia,2019,658,29,6665.0,14873064,293240504,1757931.0,3481.0,1249.0,7867.0,483.0,585.0
Bahia,2020,742,29,4899.0,14930634,305320813,1839526.0,2431.0,922.0,6455.0,417.0,357.0
Bahia,2021,861,29,6234.0,14985284,"352617851,8",1824391.0,2685.0,1390.0,7679.0,372.0,755.0
Ceará,2009,500,23,262.0,8547809,67199958,947720.0,153.0,83.0,266.0,36,73
Ceará,2010,488,23,289.0,8452381,79336299,1022259.0,226.0,88.0,412.0,25,91.0
Ceará,2011,555,23,510.0,8530155,89695828,1076764.0,258.0,103.0,510.0,38.0,20
Ceará,2012,510,23,1224.0,8606005,96973753,1107009.0,508.0,158.0,1000.0,47.0,35.0
Ceará,2013,591,23,1079.0,8778576,109036556,1095316.0,495.0,177.0,1102.0,70.0,69.0
Ceará,2014,567,23,2566.0,8842791,126054472,1089813.0,647.0,466.0,1831.0,76.0,155.0
Ceará,2016,594,23,2748.0,8963663,138422521,1042087.0,1065.0,591.0,2216.0,152.0,566.0
Ceará,2017,645,23,2674.0,9020460,147921534,1048606.0,1098.0,721.0,2737.0,180.0,726.0
Ceará,2018,660,23,4999.0,9075649,155903825,1071704.0,2738.0,925.0,4234.0,270.0,1126.0
Ceará,2019,631,23,6087.0,9132078,163575327,1020141.0,4125.0,1258.0,6350.0,268.0,1810.0
Ceará,2020,607,23,4939.0,9187103,166914536,1085049.0,2918.0,1259.0,5488.0,252.0,1637.0
Ceará,2021,820,23,5417.0,9240580,"194884801,5",1076609.0,2520.0,1689.0,5629.0,269.0,2094.0
Distrito Federal,2009,138,53,620.0,2606885,124323753,76327.0,303.0,423.0,598.0,53,37
Distrito Federal,2010,162,53,603.0,2570160,144174102,98552.0,321.0,484.0,592.0,62,32.0
Distrito Federal,2011,115,53,764.0,2609998,154568954,77591.0,394.0,484.0,929.0,72.0,83
Distrito Federal,2012,151,53,1216.0,2648532,164101336,99950.0,646.0,867.0,1004.0,83.0,118.0
Distrito Federal,2013,148,53,1336.0,2789761,175906726,93272.0,593.0,1076.0,1072.0,67.0,149.0
Distrito Federal,2014,157,53,1053.0,2852372,197432059,86524.0,444.0,832.0,884.0,72.0,99.0
Distrito Federal,2016,167,53,1128.0,2977216,235540045,87255.0,463.0,936.0,846.0,58.0,481.0
Distrito Federal,2017,184,53,1542.0,3039444,244722249,79740.0,639.0,1449.0,1124.0,96.0,894.0
Distrito Federal,2018,206,53,1689.0,2974703,254817205,73888.0,637.0,1623.0,1359.0,88.0,1632.0
Distrito Federal,2019,206,53,1908.0,3015268,273613711,67405.0,745.0,1530.0,1722.0,64.0,3025.0
Distrito Federal,2020,200,53,1937.0,3055149,265847334,83939.0,748.0,1386.0,1699.0,62.0,3016.0
Distrito Federal,2021,196,53,2134.0,3094325,286943782,88132.0,779.0,1271.0,1757.0,97.0,3542.0
Espírito Santo,2009,150,32,46.0,3487199,69215361,190428.0,24.0,26.0,30.0,3,1
Espírito Santo,2010,167,32,325.0,3514952,85310285,189983.0,128.0,28.0,175.0,14,22.0
Espírito Santo,2011,170,32,766.0,3547055,105976222,192365.0,346.0,168.0,535.0,54.0,89
Espírito Santo,2012,184,32,984.0,3578067,116850581,201274.0,482.0,388.0,903.0,61.0,183.0
Espírito Santo,2013,161,32,1698.0,3839366,117274347,201671.0,747.0,426.0,1580.0,56.0,344.0
Espírito Santo,2014,183,32,2286.0,3885049,128783781,190049.0,839.0,539.0,2239.0,68.0,803.0
Espírito Santo,2016,179,32,3639.0,3973697,109264423,180737.0,1334.0,681.0,3977.0,150.0,1223.0
Espírito Santo,2017,213,32,3758.0,4016356,113399937,169460.0,1448.0,861.0,4216.0,246.0,1611.0
Espírito Santo,2018,244,32,4688.0,3972388,137020055,181139.0,1815.0,1000.0,4900.0,128.0,2809.0
Espírito Santo,2019,254,32,3926.0,4018650,137345595,168839.0,1612.0,1191.0,4661.0,185.0,3684.0
Espírito Santo,2020,255,32,3006.0,4064052,138445922,196264.0,999.0,988.0,3227.0,109.0,2677.0
Espírito Santo,2021,265,32,4095.0,4108508,"186336504,8",196064.0,1337.0,1192.0,3699.0,127.0,3045.0
Goiás,2009,312,52,393.0,5926300,92865743,305949.0,257.0,168.0,812.0,74,24
Goiás,2010,306,52,1043.0,6003788,106770109,326084.0,510.0,488.0,2241.0,146,61.0
Goiás,2011,339,52,940.0,6080716,121296721,333567.0,440.0,329.0,1547.0,83.0,28
Goiás,2012,405,52,2230.0,6154996,138757825,348375.0,795.0,586.0,3153.0,166.0,82.0
Goiás,2013,423,52,2843.0,6434048,151300175,340341.0,1088.0,826.0,3484.0,248.0,227.0
Goiás,2014,451,52,2722.0,6523222,165015318,336606.0,966.0,796.0,3353.0,174.0,365.0
Goiás,2016,490,52,2735.0,6695855,181759604,306444.0,966.0,1020.0,3309.0,183.0,630.0
Goiás,2017,494,52,2945.0,6778772,191948301,310483.0,1124.0,1056.0,3643.0,212.0,879.0
Goiás,2018,500,52,3505.0,6921161,195681724,310220.0,1308.0,1185.0,4412.0,281.0,1388.0
Goiás,2019,596,52,4450.0,7018354,208672492,278556.0,1785.0,1367.0,5893.0,296.0,2313.0
Goiás,2020,602,52,4097.0,7113540,224126112,305149.0,1622.0,1151.0,4714.0,315.0,1995.0
Goiás,2021,660,52,5752.0,7206589,"269627873,9",301567.0,2288.0,1836.0,5613.0,356.0,2687.0
Maranhão,2009,154,21,112.0,6367138,40994571,846345.0,64.0,98.0,96.0,5,1
Maranhão,2010,211,21,282.0,6574789,46309633,871297.0,147.0,228.0,262.0,17,12.0
Maranhão,2011,217,21,511.0,6645761,52143535,920048.0,243.0,316.0,447.0,42.0,21
Maranhão,2012,210,21,639.0,6714314,60490109,951611.0,259.0,290.0,1323.0,51.0,96.0
Maranhão,2013,243,21,1207.0,6794301,67694845,962011.0,671.0,339.0,1496.0,82.0,35.0
Maranhão,2014,256,21,1178.0,6850884,76842028,985136.0,775.0,255.0,1363.0,48.0,51.0
Maranhão,2016,290,21,1214.0,6954036,85310038,951942.0,709.0,317.0,1068.0,130.0,64.0
Maranhão,2017,317,21,1478.0,7000229,89542757,987510.0,748.0,434.0,1453.0,179.0,62.0
Maranhão,2018,313,21,2007.0,7035055,98179496,987370.0,1043.0,553.0,1858.0,183.0,229.0
Maranhão,2019,335,21,2114.0,7075181,97339938,933326.0,1153.0,708.0,2391.0,166.0,851.0
Maranhão,2020,339,21,1932.0,7114598,106915962,961854.0,936.0,748.0,2082.0,194.0,564.0
Maranhão,2021,380,21,2167.0,7153262,124980720,951591.0,994.0,844.0,2429.0,182.0,503.0
Mato Grosso,2009,191,51,159.0,3001692,52693417,166456.0,85.0,50.0,145.0,20,2
Mato Grosso,2010,163,51,248.0,3035122,56600955,167693.0,118.0,72.0,269.0,26,11.0
Mato Grosso,2011,159,51,629.0,3075936,69153957,171905.0,297.0,392.0,573.0,79.0,34
Mato Grosso,2012,188,51,816.0,3115336,79665691,184686.0,423.0,306.0,888.0,72.0,112.0
Mato Grosso,2013,183,51,1106.0,3182113,89212919,187262.0,557.0,342.0,1121.0,84.0,112.0
Mato Grosso,2014,160,51,1231.0,3224357,101234520,185619.0,536.0,411.0,1341.0,111.0,63.0
Mato Grosso,2016,180,51,1681.0,3305531,123880296,163610.0,762.0,534.0,1618.0,110.0,83.0
Mato Grosso,2017,201,51,1480.0,3344544,126845898,162284.0,662.0,519.0,1846.0,113.0,258.0
Mato Grosso,2018,229,51,1531.0,3441998,137442853,162977.0,647.0,560.0,1745.0,150.0,381.0
Mato Grosso,2019,244,51,1710.0,3484466,142122028,143362.0,811.0,676.0,2240.0,146.0,620.0
Mato Grosso,2020,265,51,1847.0,3526220,178649564,161686.0,825.0,661.0,1861.0,160.0,531.0
Mato Grosso,2021,266,51,1832.0,3567234,"233390202,6",160874.0,702.0,641.0,1735.0,94.0,467.0
Mato Grosso do Sul,2009,215,50,1743.0,2360498,39517742,127768.0,691.0,252.0,1727.0,80,330
Mato Grosso do Sul,2010,194,50,2420.0,2449024,47270656,132887.0,1021.0,379.0,2437.0,104,489.0
Mato Grosso do Sul,2011,212,50,3037.0,2477542,55133162,134447.0,1116.0,371.0,3135.0,134.0,667
Mato Grosso do Sul,2012,212,50,3198.0,2500365,62013201,142249.0,1237.0,496.0,3113.0,157.0,571.0
Mato Grosso do Sul,2013,226,50,3441.0,2587269,69203201,146539.0,1162.0,537.0,3487.0,158.0,625.0
Mato Grosso do Sul,2014,208,50,3784.0,2619657,78950133,144736.0,1193.0,534.0,4010.0,134.0,661.0
Mato Grosso do Sul,2016,225,50,3281.0,2682386,91892285,130877.0,1063.0,445.0,3728.0,135.0,909.0
Mato Grosso do Sul,2017,261,50,3273.0,2713147,96396434,126694.0,1054.0,488.0,4061.0,127.0,1400.0
Mato Grosso do Sul,2018,268,50,3475.0,2748023,106969142,130336.0,1074.0,555.0,4100.0,102.0,1682.0
Mato Grosso do Sul,2019,265,50,3892.0,2778986,106943246,114659.0,1165.0,655.0,4791.0,141.0,2829.0
Mato Grosso do Sul,2020,245,50,3799.0,2809394,122627726,130468.0,1195.0,537.0,4301.0,153.0,2287.0
Mato Grosso do Sul,2021,308,50,3502.0,2839188,"142203766,4",127877.0,988.0,542.0,4103.0,146.0,1986.0
Minas Gerais,2009,1126,31,745.0,20033665,287443848,1117946.0,499.0,744.0,1549.0,67,35
Minas Gerais,2010,1108,31,2969.0,19597330,351123418,1135715.0,1403.0,1108.0,4997.0,167,235.0
Minas Gerais,2011,1261,31,8429.0,19728701,400124687,1159172.0,3677.0,1644.0,11968.0,367.0,836
Minas Gerais,2012,1287,31,11707.0,19855332,442282830,1197240.0,5034.0,2169.0,16763.0,568.0,2041.0
Minas Gerais,2013,1175,31,17637.0,20593356,488004903,1177574.0,8088.0,2742.0,23788.0,885.0,2665.0
Minas Gerais,2014,1363,31,22530.0,20734097,516633984,1143020.0,10204.0,3116.0,27603.0,1057.0,3186.0
Minas Gerais,2016,1301,31,24286.0,20997560,544810468,1061912.0,12134.0,3270.0,29768.0,1299.0,3669.0
Minas Gerais,2017,1522,31,26875.0,21119536,576375545,1063815.0,13679.0,3924.0,33792.0,1524.0,4994.0
Minas Gerais,2018,1537,31,27813.0,21040662,614875820,1057280.0,12566.0,4164.0,34381.0,1374.0,7508.0
Minas Gerais,2019,1745,31,28022.0,21168791,651872684,976127.0,13626.0,4417.0,37246.0,1362.0,8291.0
Minas Gerais,2020,1665,31,20890.0,21292666,682786116,1075746.0,9761.0,3761.0,29082.0,1069.0,6682.0
Minas Gerais,2021,1805,31,18769.0,21411923,"857593213,7",1089140.0,7561.0,3983.0,23802.0,984.0,6032.0
Paraná,2009,661,41,1441.0,10686247,196675612,482335.0,682.0,581.0,1082.0,44,164
Paraná,2010,596,41,2173.0,10444526,225205255,466607.0,966.0,776.0,1961.0,98,169.0
Paraná,2011,611,41,3794.0,10512349,257122269,444050.0,1913.0,1035.0,3113.0,232.0,420
Paraná,2012,646,41,8068.0,10577755,285620202,449794.0,3711.0,1732.0,6501.0,314.0,873.0
Paraná,2013,671,41,11242.0,10997465,333481152,429942.0,5347.0,2128.0,8425.0,377.0,1026.0
Paraná,2014,643,41,11992.0,11081692,348084191,406819.0,5823.0,2323.0,9913.0,392.0,1173.0
